Time,Fz
2.716,736.519222
2.718,735.716862
2.72,734.513532
2.722,733.306992
2.724,732.505182
2.726,730.094362
2.728,729.292002
2.73,727.285912
2.732,726.482052
2.734,725.277562
2.736,724.073072
2.738,722.467612
2.74,721.665802
2.742,720.461312
2.744,719.658952
2.746,717.651362
2.748,716.446872
2.75,714.439282
2.752,712.431142
2.754,711.227202
2.756,709.620032
2.758,708.013622
2.76,707.612232
2.762,705.203672
2.764,703.999732
2.766,702.793742
2.768,701.186782
2.77,699.982292
2.772,699.982082
2.774,698.777802
2.776,698.376962
2.778,696.772052
2.78,695.968742
2.782,695.567012
2.784,695.566802
2.786,695.570012
2.788,695.970772
2.79,695.568432
2.792,696.373032
2.794,696.372822
2.796,694.365782
2.798,693.562472
2.8,692.757452
2.802,691.151382
2.804,689.544762
2.806,688.341372
2.808,687.536902
2.81,686.331462
2.812,684.725392
2.814,683.518242
2.816,682.715482
2.818,681.510041
2.82,679.099161
2.822,678.295031
2.824,677.089931
2.826,675.882781
2.828,674.276711
2.83,672.667091
2.832,670.658891
2.834,668.651851
2.836,668.648981
2.838,668.247191
2.84,666.237491
2.842,665.837201
2.844,664.630051
2.846,663.827291
2.848,663.423451
2.85,662.620691
2.852,662.216851
2.854,661.815061
2.856,660.608121
2.858,660.608461
2.86,661.009981
2.862,659.402411
2.864,660.604981
2.866,660.204901
2.868,661.008551
2.87,660.606421
2.872,660.606421
2.874,661.812201
2.876,662.213381
2.878,662.612851
2.88,662.613401
2.882,662.613741
2.884,663.417051
2.886,663.014581
2.888,664.218861
2.89,663.818231
2.892,665.022171
2.894,665.422801
2.896,666.226451
2.898,667.430391
2.9,667.430391
2.902,667.831571
2.904,668.636931
2.906,670.243341
2.908,671.849962
2.91,673.857552
2.912,674.257022
2.914,675.464512
2.916,676.265162
2.918,676.666342
2.92,677.870962
2.922,679.074902
2.924,679.876712
2.926,680.276182
2.928,681.078332
2.93,682.282612
2.932,682.682082
2.934,683.485392
2.936,683.882812
2.938,684.684962
2.94,685.486772
2.942,686.688182
2.944,687.489442
2.946,689.093192
2.948,690.295422
2.95,690.694342
2.952,691.495942
2.954,692.296382
2.956,692.694352
2.958,692.288462
2.96,691.885172
2.962,692.283752
2.964,691.879912
2.966,693.484822
2.968,694.286422
2.97,695.086862
2.972,697.493162
2.974,699.096362
2.976,700.298932
2.978,701.503212
2.98,701.902472
2.982,703.508882
2.984,702.702912
2.986,703.504512
2.988,702.697652
2.99,703.502462
2.992,704.302902
2.994,704.705372
2.996,705.907392
2.998,705.909442
3,705.505602
3.002,706.711042
3.004,705.908282
3.006,705.908622
3.008,705.505942
3.01,705.507442
3.012,705.908962
3.014,706.311092
3.016,705.508332
3.018,705.105652
3.02,704.706732
3.022,705.107152
3.024,705.509832
3.026,705.912512
3.028,706.316692
3.03,706.317852
3.032,707.925762
3.034,708.730232
3.036,709.535382
3.038,709.940932
3.04,710.746082
3.042,710.748952
3.044,711.153132
3.046,712.360622
3.048,713.970242
3.05,713.971952
3.052,714.778262
3.054,714.781472
3.056,716.392802
3.058,717.197612
3.06,717.200822
3.062,718.008842
3.064,717.608212
3.066,718.415892
3.068,718.417942
3.07,718.018132
3.072,719.227122
3.074,720.033092
3.076,721.240372
3.078,720.840562
3.08,721.246452
3.082,722.052762
3.084,722.054472
3.086,722.055972
3.088,723.667092
3.09,723.266122
3.092,724.072092
3.094,724.476272
3.096,724.880112
3.098,725.686082
3.1,726.089712
3.102,726.493002
